{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
10DFBA,10E04D,10DF48
F6821,F66D5,F6972
10E315,10E244,10E1D6
F67C1,F680E,F6A87
10E2AD,10E30A,10E1BB
F67A6,F681F,F6904
10E404,10E29B,10E41F
F67B3,F66F8,F6758
10E174,10E33E,10E2C4
F6875,F698B,F6817
10E1A8,10E37A,10E1D2
F6862,F6742,F6698
10E098,10E137,10E2C0
F64A8,F67AF,F67C8
10E197,10E029,10E0EC
F66DD,F66BE,F661F
10DEF2,10DEE9,10DF70
F665E,F63E2,F64B6
10DE35,10DF40,10E010
F6516,F6226,F64FA
10DD3F,10DDE4,10DFA6
F64CF,F62E9,F64E5
10DBDB,10DE07,10DD89
F63A5,F6302,F62AB
10DDA7,10DDF3,10DE51
F6418,F630A,F6337
10DC92,10DF97,10DE04
F6388,F63E5,F62E9
10DD4F,10DD8C,10DDB2
F62B8,F6265,F6231
10DB1E,10DDEB,10DBE4
F6283,F6207,F61FB
10DBBD,10DB82,10DC86
F61AD,F6238,F5F99
10DE20,10DCB1,10DDF6
F6293,F61D7,F62EF
10DBB9,10DC57,10D9EE
F6354,F6275,F5FDD
10DC35,10DD21,10DB1E
F60EC,F61F7,F61B3
10DB22,10DA8B,10DC3C
F6183,F6221,F60FA
10DB29,10DD35,10DB9C
F6191,F624E,F61BD
10DAEE,10DB50,10DB0D
F61F1,F621C,F6125
10DC99,10DD5A,10DC0D
F6041,F60FC,F5FE6
10DA29,10D9AB,10DAF4
F5FC3,F5ECD,F60DD
10DB10,10DABB,10DA77
F622D,F6498,F6458
10DE6D,10DBD7,10DDF4
F6389,F620A,F6382
10DDA4,10DDFB,10DC57
F639F,F63EB,F636E
10DBF3,10DBB4,10DC49
F6265,F6186,F63FC
10DD50,10DE17,10DC1F
F630A,F61A1,F627E
10DC40,10DAF4,10DD07
F622A,F6274,F6249
10DB78,10DB31,10DE27
F62EF,F61CE,F6317
10DC09,10DCC9,10DCAA
F630A,F6307,F62DE
10DEEC,10DDEA,10DD93
F6296,F6163,F61CE
10DBCC,10DC20,10DD23
F616B,F62EE,F62F4
10DE13,10DC49,10DCA9
F626F,F61F9,F6200
10DAC2,10DB33,10DADD
F618C,F61ED,F617A
10DCE4,10DD20,10DC64
F60D5,F6260,F60DE
10DD57,10DB84,10DA47
F610C,F6242,F6234
10DBA6,10DAB7,10DCB7
F609D,F620A,F60CE
10D96E,10D9D0,10DC8B
F609D,F60AD,F5FC0
10D07F,10D108,10D20C
F6690,F6537,F66F6
10DDC3,10DFDA,10E03A
F65DC,F65B4,F65B4
10DE08,10DF4A,10DFA2
F6520,F63C7,F6326
10DDE6,10E04B,10E141
F64EC,F6462,F6521
10DEC6,10DF19,10DFB4
F65A2,F64CB,F64ED
10DF80,10DE44,10DE9B
F6464,F6495,F64F7
10DE58,10DE96,10E061
F64C8,F62BF,F64FB
10DD97,10DF4F,10DEB5
F637C,F632F,F653E
10E029,10E085,10DF7B
F6291,F63A5,F64A0
10DE25,10DF4C,10DF21
F6211,F61A7,F636C
10DEDD,10DDE9,10DE16
F64AE,F6309,F636A
10DBCF,10DF10,10DC60
F6289,F61AA,F61E9
10DC8D,10DE01,10DD5E
F6250,F6104,F625B
10DD4F,10DD1C,10DD31
F62F7,F60B5,F63C2
10DCE6,10DDA2,10DC59
F61C1,F6254,F62ED
10DC69,10DDE9,10DC08
F6426,F61DB,F639C
10DE69,10DE32,10DDE2
F655D,F6507,F6571
10DEF8,10DD77,10DDF4
F649E,F643E,F6468
10DEAA,10E0C2,10E06B
F64A0,F6648,F657D
10DF57,10DE76,10DF7D
F6482,F6473,F63D5
10DEA3,10DEB6,10DEA8
F646A,F665D,F64EE
10DE59,10DFBE,10DFB9
F6605,F6439,F63DD
10DEC0,10DFB2,10DE81
F6372,F6463,F636C
10DDD1,10DCBD,10DF5D
F6349,F626F,F6349
10DF23,10DE55,10DD18
F6113,F61F0,F630D
10DD90,10DEAA,10DE06
F6400,F63CD,F643F
10DE3D,10DDF6,10DF0E
F6417,F63EB,F6353
10DCEE,10DF09,10DCED
F6444,F62C4,F62D6
10DDE9,10DCA0,10DE79
F62C8,F6361,F6262
10DCB3,10DD3C,10DB8A
F6166,F62A5,F615D
10DD4E,10DDF2,10DDDE
F64F7,F614B,F61C1
10DB40,10DC81,10DB35
F617E,F60C9,F6024
10DC14,10DC42,10DC38
F5FB9,F608C,F6014
