{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-899C8,-89B37,-89A87
-71F51,-7204A,-720A9
-89917,-89A03,-899ED
-71ECB,-7214F,-71F2B
-89874,-899E3,-89972
-73154,-7305A,-7301F
-89AF0,-89B38,-89980
-72059,-72058,-72028
-89CDD,-89A8F,-89827
-7210B,-720F3,-71E88
-899A8,-89CB7,-89810
-720DF,-72019,-71FBE
-899F0,-89B90,-89B48
-71F73,-72137,-71E35
-89BC6,-89A07,-89B94
-72046,-71F6C,-72173
-89A6E,-89B1B,-89B1B
-71F59,-71E01,-72055
-89C06,-89B95,-89C57
-71F7A,-7209E,-71FB1
-89A7D,-89B89,-89A18
-71ED0,-71E88,-72069
-89B44,-89AAF,-89AF2
-72052,-71FDF,-721B1
-89B55,-89A9D,-89B3A
-71EE3,-71F02,-71F63
-89A69,-89AFB,-89A06
-72108,-72028,-721F8
-89A8A,-89B7F,-89CA6
-7204A,-71F42,-720DF
-8993D,-89AC3,-89A61
-71BB2,-71FD5,-71F96
-89943,-8981A,-89830
-71CF9,-71E17,-71D66
-897C9,-898FC,-8997E
-71F4D,-71BC3,-71E60
-897FB,-89A87,-899A5
-721CD,-71FB1,-71F75
-89D29,-89A52,-89B3E
-71F60,-72200,-71F2B
-89B05,-89AB8,-89B99
-72193,-72105,-721BF
-89953,-89AA1,-89ABF
-72149,-72197,-72015
-89C64,-89A44,-89B7A
-72084,-71FCF,-71FD0
-89BC9,-89B38,-89B3D
-71F9B,-7208F,-71F5C
-899B6,-89A4C,-89B0E
-71F0B,-7212D,-720BA
-89B64,-89C45,-89A9C
-71FC9,-72031,-71F70
-8992F,-89AB5,-8987D
