{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-18C20E,-18C2DC,-18C357
-1A3EEC,-1A3E80,-1A3E23
-18C380,-18C361,-18C160
-1A3DD1,-1A3E19,-1A3E26
-18C2EA,-18C1DD,-18C325
-1A3D53,-1A3DD0,-1A3CF6
-18C4B1,-18C50B,-18C3FC
-1A3CB8,-1A3E7A,-1A3ED6
-18C3A3,-18C247,-18C345
-1A3D57,-1A3E1D,-1A3C77
-18C4A5,-18C2C5,-18C41F
-1A3F61,-1A3EC0,-1A3FBE
-18C280,-18C28C,-18C2E4
-1A3EBD,-1A3D62,-1A3CDF
-18C4DA,-18C398,-18C098
-1A3E6D,-1A3D72,-1A3CBB
-18C494,-18C459,-18C4DE
-1A3DFA,-1A3D3F,-1A4053
-18C3ED,-18C550,-18C339
-1A3DA7,-1A3EE5,-1A3E5C
-18C434,-18C37E,-18C1E4
-1A3E83,-1A3CDC,-1A3EC1
-18C541,-18C698,-18C400
-1A3FB9,-1A40E3,-1A4059
-18C5D8,-18C6B0,-18C404
-1A3D27,-1A4090,-1A412F
-18C526,-18C57F,-18C566
-1A3FA4,-1A400B,-1A3E2C
-18C3E2,-18C3FC,-18C37E
-1A3D38,-1A3E65,-1A3E6F
-18C453,-18C300,-18C2AC
-1A3FCA,-1A3DF7,-1A3BDF
-18C2D5,-18C3C4,-18C3DC
-1A3EC1,-1A3F05,-1A3EA4
-18C373,-18C493,-18C315
-1A3E5A,-1A3F0E,-1A3ED0
-18C4BE,-18C530,-18C481
-1A40D7,-1A40E8,-1A418E
-18C415,-18C73F,-18C54A
-1A4034,-1A40A5,-1A409C
-18C666,-18C5FA,-18C614
-1A3FA1,-1A3FAF,-1A40D7
-18C571,-18C62F,-18C577
-1A3F69,-1A40DD,-1A402D
-18C725,-18C741,-18C3E9
-1A3EBF,-1A3F91,-1A408E
-18C61B,-18C386,-18C64A
-1A3E8B,-1A3F47,-1A3FAA
-18C3B3,-18C547,-18C51E
-1A3F3B,-1A3F38,-1A3E72
-18C4E3,-18C3F4,-18C5CF
-1A3EC0,-1A3F9A,-1A4269
-18C46F,-18C566,-18C4BC
-1A402B,-1A4105,-1A4177
-18C3E3,-18C5F7,-18C55F
-1A3E2B,-1A3E1E,-1A41A8
-18C575,-18C447,-18C507
