{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-11C35,-11A9E,-11A5D
-29760,-2959C,-2965D
-11DD2,-11C78,-11D09
-29558,-29695,-298B6
-11994,-11C68,-11BF3
-2961E,-2956D,-29572
-11C0F,-11C85,-11C4C
-2970C,-2961B,-2961F
-11C5D,-11BF6,-11A2F
-294B9,-2971F,-295D9
-11CB2,-11C23,-11B8D
-296D6,-2957F,-29673
-11B29,-11B44,-1188E
-296F6,-295CD,-2963A
-11C63,-11AFA,-11C00
-29603,-294E2,-29633
-11C52,-11A95,-11B3C
-295EC,-29893,-296C6
-11B3C,-11A90,-11C8C
-2951C,-29585,-294D5
-11BCB,-11B77,-11D0F
-295BB,-29520,-296B3
-11A8F,-11BB2,-11C4F
-29709,-295CB,-29621
-11A56,-11AD6,-119DC
-2940D,-2944D,-29409
-11C3B,-11B22,-119AF
-29549,-29608,-29593
-12DD4,-12D1C,-12B75
-297AC,-29741,-296B5
-11C6F,-11C12,-11ED6
-29655,-295EE,-29551
-11BB6,-11D6D,-11D9D
-2967F,-295BE,-2967A
-11DCC,-11BDC,-11962
-29691,-29611,-29857
-11D2F,-11AC6,-11B0E
-29756,-296E5,-29904
-11C87,-11CEE,-11D6F
-2973F,-296B3,-297B2
-11E18,-11E07,-11DEB
-29616,-29582,-295E3
-11C21,-11BB9,-11C32
-29720,-296AA,-29860
-11D55,-11ADA,-11B9B
-2977B,-29764,-2977D
-11C8F,-11DFF,-11BA5
-297C3,-297CD,-297CE
-11CAD,-11E36,-11D2A
-299C1,-2990E,-2968F
-11D1C,-11BEF,-11C2F
-298DC,-29856,-298D6
-11D5C,-11C9C,-11D3E
-296DB,-29673,-2980E
-11F73,-11C31,-11BEB
-29586,-295BA,-2979F
-11B25,-11B1D,-11ABE
-29604,-294B5,-294B9
-11B4B,-11C45,-11B9F
-29612,-2957D,-295C1
-11D34,-11C10,-11BDB
-2973F,-29811,-297FA
-11F53,-11C38,-11DD2
-297D6,-297D6,-29595
-11D93,-11C7E,-11DB4
-2949C,-29636,-29675
-11D6B,-11B2E,-11BC2
-297D1,-2957A,-29649
-11A34,-11C12,-11B71
-29581,-29596,-297D3
-11B6E,-11C40,-11D65
-296F1,-298A0,-29722
-11CC1,-11DF3,-11C55
-2953A,-29575,-29552
-11BAD,-11B90,-11BF6
-29556,-29461,-294A9
