{'CALIB_RAW_DAC_START_I': 819200, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-5884C,-5876C,-5879E
-40D4A,-40C24,-40B99
-5871D,-585FB,-5843A
-40B98,-40CFD,-40B07
-58421,-584F2,-585DE
-40C53,-40B98,-40A66
-58526,-5867B,-585F3
-40AD7,-40A9B,-40ACB
-584A4,-5848D,-58646
-40BC2,-409B8,-40B32
-58534,-5860C,-58577
-40B7C,-40AA4,-40AD1
-5848F,-583F7,-584FC
-40A77,-40BB1,-40A29
-58564,-584D0,-58577
-40A33,-409B5,-40BA8
-5856B,-5860D,-584EB
-40B3E,-40BAF,-409A1
-585CE,-582E6,-5867E
-409D0,-40A27,-40902
-58460,-585BE,-585EF
-40C01,-40B0F,-40D21
-584A8,-58479,-584A5
-40BDA,-40A7D,-40B5E
-584CE,-5856D,-5864F
-40B91,-4095D,-40A8E
-58558,-586D2,-585CE
-40C04,-40CAA,-40C62
-584D6,-58569,-58534
-40B51,-40A4C,-40B1A
-58548,-58724,-58583
-40B45,-40A5A,-409A9
-58705,-586FB,-5848B
-40B9F,-40C9B,-40B1D
-584D5,-5846D,-5856F
-40A66,-40AFF,-40C38
-58464,-586CC,-5861E
-40B28,-409F8,-40ABD
-583FF,-58529,-586B6
-40B1E,-40BC2,-40B8B
-582C1,-5836B,-58460
-40A23,-409ED,-408F1
-58499,-5845A,-584B2
-408BF,-40A65,-40A8A
-581CD,-585D9,-5834D
-40C4B,-4099C,-40A4E
-5842E,-581F8,-58416
-40C38,-40ADD,-40A53
-581FD,-58564,-58409
-409A1,-40A19,-409DC
-583A1,-58369,-583BC
-40B9E,-40881,-409AA
-5853A,-5854D,-5835C
-40A54,-40A30,-40A25
-58516,-5850F,-58455
-40A45,-40A16,-40992
-582BB,-584E2,-584A9
-40AE1,-40AE9,-40B92
-584D0,-58422,-584A0
-40A38,-409E6,-40B04
-582A9,-5842D,-5846D
-40B49,-40C09,-40A00
-583E4,-5841D,-58334
-409F2,-40937,-40876
-58340,-58410,-583F6
-40A5C,-40901,-408D6
-58385,-584B2,-584E5
-409BB,-40B40,-40878
-58452,-58345,-58443
-4097D,-409A3,-40BC6
-58329,-5839B,-58474
-4091C,-40AB8,-40AF6
-581AF,-582D2,-5847B
-40AF8,-40A0D,-40A01
-58510,-5836E,-584D4
-40A36,-408F5,-40C2A
-583AE,-58404,-58403
-40B2A,-40A73,-40A2B
-58476,-58249,-585D5
-40A1E,-409E3,-40958
-582ED,-584AE,-58655
-40947,-40A5F,-409EC
-582A5,-584FF,-58543
-40A7B,-4096B,-408E1
-5862F,-584A4,-582E9
-40A71,-40A7F,-40969
-58366,-58364,-584A4
-408DC,-40B76,-40774
-58323,-58251,-58429
-409B2,-4085E,-4082C
-58125,-581CC,-58309
-40835,-40963,-4081F
-581A0,-582D6,-581EC
-407D2,-40759,-406D9
-58164,-58319,-58173
-407FF,-407F5,-4074D
-58225,-58218,-58152
-405E1,-40920,-407D3
-583FF,-582FA,-58303
-4141B,-4143C,-41602
-57CC8,-57C92,-57D5A
-403A1,-4044E,-402E6
-57C58,-57DE0,-57BFF
-40184,-4022C,-40382
-57B83,-57D43,-57B99
-40189,-4050F,-40279
-57C1D,-57BF6,-57B93
-3FE80,-40139,-400BD
-57B71,-57A5C,-57B0F
-3FFAB,-4015C,-40142
-57B3F,-57CA4,-57DD8
-401E4,-40202,-3FE98
-57C90,-57C77,-57CE7
-40291,-401CE,-4021B
-57D01,-57C4C,-57C94
-40089,-4007B,-4022A
-57C98,-57AE1,-57BAE
-4029D,-401B2,-4026E
-57E02,-57DD6,-57B8C
-40380,-40471,-40282
-57D2D,-57D83,-57D14
-401F1,-4015E,-400C5
-57DF8,-57BD8,-57B49
-401AA,-40109,-40127
-579C5,-57BF4,-57C37
-400C6,-400C3,-400FD
-57B65,-57C39,-57BF4
-4007F,-40313,-401D3
-57B90,-57AE8,-57C8F
-40128,-3FFC7,-40122
-57CB3,-57C4B,-57E12
-400C5,-4006C,-40002
-57A9B,-57C2B,-57A99
-40196,-40208,-400AD
-57AC8,-57B63,-57D08
-401CE,-40127,-40110
-57B47,-57A0B,-57A99
-40365,-4011C,-4021A
-57A85,-57B70,-57AE6
-402BE,-4000A,-401C4
-57B25,-57A9D,-57B77
-40267,-40182,-40050
-57C36,-57AAA,-57910
-40067,-40140,-400D3
-57B9D,-57A49,-57B96
-4009E,-40007,-40128
-57A25,-57B7A,-579A1
-400A4,-3FFE8,-3FF13
-57ADF,-57B9B,-57C29
-40246,-4023D,-3FF99
-57B88,-57B62,-57996
-40075,-401BA,-400EE
-57BCC,-57B73,-57A5E
-3FFA1,-4023F,-403BD
-57B2D,-57B70,-57BA1
-4020E,-40192,-401D2
-57B4F,-57CB7,-57C1B
-400FF,-3FFEE,-3FF96
-57A3B,-579C6,-57C2B
-3FED1,-3FFD2,-400BE
-57A03,-57B07,-57B17
-402F2,-40222,-400A7
-57A60,-57A2A,-57A68
-400F3,-40069,-4007D
-579C8,-57B7C,-57B0C
-4029B,-40289,-401AA
-57ADB,-57CBD,-57C0E
-401E5,-40339,-4018B
-57C9A,-57BEE,-57C7D
-4005F,-40098,-3FF13
-57A2D,-57C32,-57AE7
-3FEE7,-400BC,-40031
-57ADC,-57A95,-57A9B
-4013C,-40031,-3FFE8
-57A15,-57A5A,-57A77
-40004,-402A3,-401EF
-57A7D,-57BAA,-5798B
-40120,-401B9,-3FF64
-57C4A,-57CC4,-57BAD
-4016A,-400E8,-3FE7D
-57A13,-57BB9,-57A08
-40260,-401DD,-4008E
-57B6F,-57B31,-57A70
-401C3,-4002E,-400A6
-57A73,-57BF4,-57AF9
-40267,-3FFB1,-4018C
-57B59,-579EC,-57ACB
-402A3,-40135,-40105
-57AC2,-57AFB,-577E6
-400B0,-3FF24,-3FE55
-57C32,-57A4C,-57852
-3FFD7,-3FD95,-3FE6E
-57A56,-57B4C,-57BA0
-401FD,-3FF62,-3FEEB
-579A9,-57B68,-57915
-3FF4C,-4008F,-3FFB9
-579A2,-57BF8,-57C44
-400A1,-401F9,-401D7
-579D3,-57AE8,-5784B
-40047,-4012D,-3FF22
-57B24,-57AEF,-57986
-3FF94,-3FFF9,-4006C
-57BE7,-579D1,-57B80
-40077,-402FE,-40187
-57AA5,-57B07,-57A49
-3FFAF,-40002,-3FF98
-57A1E,-57ABC,-579CC
-4008F,-40023,-40087
-57A19,-57962,-57B74
-3FEDB,-3FE8E,-3FE94
-57935,-579F7,-5796A
-3FD9C,-3FDB8,-3FF56
-57C47,-57A1B,-5797C
-401A1,-40006,-3FFDD
-57A2A,-57A6F,-57C73
-400E7,-40068,-3FEE1
-57B60,-57AE2,-57B15
-40123,-400B2,-3FFEA
-57B30,-57B49,-579D0
-3FFCD,-3FF19,-3FE2B
-57909,-57A4D,-57A3D
-40034,-3FE6B,-4001E
-578A6,-57921,-57A51
-3FF1E,-3FEC3,-3FF47
-57A13,-57A59,-57945
-4007A,-3FF03,-3FD9A
-57866,-579FE,-577B8
-411F4,-41307,-4105A
-57BEE,-57AD3,-57B0A
-40179,-400C4,-4015D
-57C8F,-57BF4,-57C45
-40077,-3FF7B,-40075
-57972,-57D2F,-57A69
-40210,-3FFEB,-400F7
-5785D,-57A62,-57C19
-40000,-3FF5B,-4000D
-579C8,-578F5,-57ADA
-3FFAD,-402B3,-40150
-57B9E,-57C01,-57B92
-40190,-3FF79,-40231
-5799C,-57C6B,-57BBE
-3FFFC,-40032,-4005E
-57B22,-5795C,-57ABC
-4004A,-40137,-3FE21
-57BF8,-57AA8,-57B61
-4014F,-3FF61,-40188
-57A45,-57AF2,-57B78
-4005E,-400C6,-3FF77
-57C12,-5798D,-57958
-4025F,-40152,-3FED6
-57BEE,-57A28,-57ACB
-3FF34,-3FF72,-3FF34
-57A87,-579B5,-57AF2
-3FF5C,-3FE6B,-3FFD8
-57844,-579D4,-57A2B
-3FE47,-3FDE2,-3FECF
-5782D,-578D7,-578E0
-3FF77,-3FE9D,-3FE72
-578B4,-5795C,-57961
-3FE71,-3FF46,-3FDD1
-579A0,-57A8F,-579E5
-3FFA4,-3FEC3,-3FF31
-57A27,-57AA0,-57917
-4003D,-3FFC0,-40045
-57AC0,-579A1,-578A0
-3FEC6,-3FE6F,-40019
-5789F,-57930,-57A49
-3FED3,-3FD28,-3FF6A
-57768,-575D9,-5791C
-4012A,-3FE8F,-3FFBC
-57950,-578EC,-5793F
-3FF01,-3FF5A,-3FFAA
-579A0,-5786D,-5775E
-3FEAF,-3FEB6,-3FE73
-577DB,-578D0,-5795B
-3FE66,-3FD86,-3FDFB
-57811,-57865,-579CB
-3FDE2,-3FF52,-3FD87
-57919,-57969,-57783
-40007,-3FE4B,-40050
-576E5,-5792D,-579B8
-3FF45,-3FCEC,-3FE86
-5771B,-579A2,-57A10
-3FD9A,-3FCAA,-3FE3F
-57902,-5780D,-57806
-3FE9F,-3FE32,-3FE41
-57858,-57AA0,-57794
-3FF46,-3FECF,-3FED6
-57873,-578F9,-5790E
-3FF47,-3FE4B,-3FEAB
-57A01,-578A3,-57867
-40148,-3FDE7,-3FDF8
-579CC,-5796E,-57885
-3FD62,-3FE12,-3FFBB
-57833,-578D9,-57837
-3FCB1,-3FEA2,-3FE3E
-577DA,-57A11,-578BA
-3FCD3,-3FF46,-3FDA3
-57940,-5782A,-577B9
-3FF72,-3FCFD,-3FE8F
-5780D,-579E6,-578C0
-3FC5C,-3FD5D,-3FC24
-57992,-576F1,-577C9
-400D1,-3FE36,-3FEEE
-5762E,-57AF3,-579C7
-4015A,-3FF5E,-3FE11
-5781C,-57A48,-577AC
-3FC81,-3FC12,-3FD3E
-57943,-57936,-5778D
-3FDC3,-3FEB9,-3FD15
-57745,-579EA,-579ED
-3FC70,-3FE8B,-3FD2E
-576F8,-577A0,-5777B
-3FE58,-3FE6C,-3FBC4
-5778F,-57750,-578B9
-3FBB2,-3FD84,-3FF0E
-579B0,-578F7,-576E2
-3FEBA,-3FFD7,-3FCF4
-57B24,-57674,-57805
-3FDF7,-3FD22,-3FE17
-576C5,-5776D,-5789F
-40009,-3FDAF,-3FFCA
-57702,-5762F,-5773F
-3FC41,-3FC6D,-3FCFD
-576A4,-5769C,-576DC
-3FD89,-3FC23,-3FDB5
-57434,-57783,-57803
