{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-68BF9,-68E0F,-68EC5
-51340,-513E7,-51456
-68E0C,-68D46,-68BB7
-511EF,-51387,-51338
-68BEA,-68B90,-68BFC
-512BB,-513A9,-51223
-68E84,-68EDD,-68C98
-51112,-50FCB,-51134
-68BF3,-68D03,-68C47
-51346,-51302,-5138B
-68CF5,-68EF0,-68C34
-50FFE,-5128D,-510A8
-68DAA,-68BDC,-68CDE
-5123E,-51365,-51540
-68B89,-68DB4,-68CA0
-5126E,-513EF,-5134A
-68C80,-68C6F,-68B93
-5130F,-512E8,-51205
-68C5C,-68C1C,-68C8C
-512D5,-51245,-51225
-68BC8,-68CAD,-68BF6
-51364,-51252,-51335
-68D28,-68BE1,-68D6F
-51106,-511B6,-512A8
-68CF2,-68BE9,-68ADC
-513BE,-51105,-51314
-68C9C,-68C27,-68CC9
-511C8,-50ED7,-51096
-689F3,-68A6A,-68C0F
-511E2,-5102A,-512D9
-68B36,-68BE0,-68A07
-510F0,-5107B,-51083
-68A41,-68AAA,-68BDF
-51254,-51079,-511BA
-68AC3,-68B13,-68CB2
-512F3,-511FD,-510CB
-68CF9,-68C85,-68AC2
-51207,-51204,-51353
-68ACB,-68BD9,-68BC5
-51033,-5126A,-51270
-68C88,-68C6A,-68CC2
-512AF,-512E2,-5114E
-68B7C,-689BA,-68B58
-5103F,-51157,-5127B
-6895D,-68C5B,-68AE8
-5111F,-50FF8,-511E2
-68B41,-68D26,-68BD5
-51D9F,-51C83,-51CD4
-68575,-68633,-684F3
-509E6,-50AB7,-50BEB
-685E1,-6869E,-68635
-509E3,-50BA9,-50A6E
-68642,-6863B,-6876E
-50C44,-50BD7,-50CB3
-68629,-68484,-6853D
-50AD8,-50AE5,-50B9D
-68507,-6855E,-6851F
-50A1E,-50A0B,-50902
-683EC,-68478,-6850C
-50C01,-50ACC,-50B55
-684B8,-68747,-685B7
-50AD4,-50B95,-50B7F
-68691,-6862C,-685D1
-50A93,-509AD,-50972
-684D5,-684CD,-683F8
-508F1,-50994,-509B4
-6840E,-68424,-6857E
-50B8F,-50960,-50A93
-6832D,-68569,-6835B
-5096D,-50A46,-50A24
-6859B,-682C9,-68406
-509A6,-5096D,-5097A
-68236,-68385,-6845B
-508C5,-50A8A,-50944
-68303,-6846B,-68602
-50A14,-507C5,-50A0D
-683AE,-681E4,-682BA
-509C8,-5092A,-50859
-68403,-682B7,-6832C
-509FC,-508CC,-509C6
-6826D,-68365,-683F9
-50A41,-50866,-50829
-684B9,-6832F,-6811A
-5084E,-5085A,-50888
-68304,-68334,-6836B
-5088B,-50946,-50982
-682D5,-68290,-68210
-50932,-508BD,-506F7
-684E5,-68440,-682DA
-50682,-50918,-508C6
-682C6,-682FD,-68348
-50783,-50808,-5092A
-682D2,-68346,-6825C
-50985,-50945,-50AC7
-682C1,-68280,-6839E
-50885,-50840,-507D1
-68206,-68314,-682E9
-508F7,-50948,-5097A
-683D1,-681FE,-680F0
-508DB,-50673,-508BF
-682A0,-681D9,-68279
-508E7,-50913,-50954
-6838B,-6836B,-68239
-50585,-507DF,-5090D
-6828C,-68252,-682C5
-507C9,-508B0,-508F3
-682E8,-682F8,-68353
-5080F,-5086D,-5092C
-68201,-681A1,-68039
-5079A,-5065F,-507AD
-682C3,-68131,-682B4
-5090B,-50855,-50773
-681D3,-68262,-68306
-50A36,-509AF,-50AD3
-68327,-68302,-68183
-50821,-50820,-50890
-6830A,-68315,-6821D
-50655,-507D5,-50880
-683E2,-68415,-6834D
-509AD,-509C4,-5080F
-68488,-6843D,-6848F
-50BC1,-5086C,-50A1D
-682FD,-681CA,-6854B
-50758,-508E4,-50867
-683E8,-6838A,-68469
-5096A,-507FF,-5084C
-681AF,-68136,-681FA
-50991,-50919,-507B2
-68209,-682BC,-68144
-508E2,-50830,-508FA
-68440,-682A9,-68348
-50855,-50A40,-506C0
-68187,-6827C,-682D5
-507A0,-50782,-50814
-680C3,-682A0,-68200
-507C2,-50857,-507B9
-68194,-6836A,-682AB
-50A5E,-50A34,-50848
-680FD,-68243,-68359
-5088B,-50782,-506A6
-6839D,-682B5,-68198
-5087B,-508B4,-50794
-68134,-6822A,-682F9
-50744,-50997,-506CB
-681F4,-6806F,-680E2
-5074E,-506B7,-50876
-680C7,-68147,-680D5
-506D3,-50830,-50888
-682C7,-681AA,-680F7
-50762,-50652,-5078D
-6804B,-67F50,-680FB
-504D9,-5062C,-506F4
-681EA,-68321,-6815B
-506ED,-50670,-50679
-68054,-68238,-68086
-50751,-506CD,-505F0
-67F85,-6829B,-68224
-505CB,-50637,-50620
-6815B,-68263,-68065
-505EC,-504C5,-50433
-680B4,-68182,-680CB
-507AF,-507B3,-505F0
-68055,-6802C,-6829E
-5064C,-507C1,-507D0
-67F76,-6805F,-68193
-50609,-50797,-506CD
-68001,-68219,-6814A
-5053A,-50760,-50652
-68174,-68239,-681AC
-506BB,-5081E,-5057B
-6811F,-68024,-68108
-507E6,-50415,-506C3
-68218,-682B9,-68147
-5068E,-506D6,-506E9
-680FB,-67F5B,-680F7
-51BE5,-51B47,-51A1C
-68244,-68303,-6841B
-5090A,-509E1,-508A0
-683FD,-685A6,-682D5
-50992,-50890,-5098E
-682CB,-68230,-68424
-507CF,-509AC,-50AFA
-6825C,-683C8,-6847F
-509B1,-507AA,-50A03
-6832D,-682A6,-683B5
-50817,-508FE,-50775
-68319,-68311,-681F8
-508A1,-506EF,-50536
-68355,-6832F,-68304
-508FD,-50771,-50A38
-683F0,-683DA,-68286
-50753,-509AF,-50A78
-684B1,-683C0,-68391
-50790,-50B38,-509E9
-682DA,-68277,-683D6
-50779,-5072D,-506FB
-682B2,-68301,-6817B
-50783,-508A0,-50A32
-682F8,-68209,-68048
-50733,-50754,-508E5
-68059,-680C3,-681E2
