{'CALIB_RAW_DAC_START_I': 196608, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
DD8AD,DDA3F,DDB3B
F53CE,F5298,F537E
DD8EA,DDA09,DD8B3
F55F1,F54AF,F5320
DD922,DD86C,DD899
F531C,F52FB,F5368
DD96F,DD747,DD771
F52FE,F5439,F53D7
DD9A8,DD9F1,DD95D
F52CC,F5368,F51F9
DD995,DD7B3,DDAED
F54C0,F5400,F5279
DD98D,DDA39,DDA21
F5402,F5515,F53CD
DDA23,DD892,DD8D3
F52E7,F5306,F53B5
DDA00,DD990,DD974
F54BF,F528D,F52DB
DD845,DD9A6,DD997
F402B,F4028,F4021
DD8D4,DD6CD,DD7BC
F51E4,F50DB,F5225
DD8AA,DD791,DD858
F5188,F5284,F52AE
DD7CF,DD83A,DD89E
F5136,F53DE,F531D
DD8E7,DDAAF,DD9D5
F563D,F511D,F5549
DD8FD,DDA8A,DD8B6
F508B,F5475,F5289
DD7E7,DD85C,DD8BB
F529A,F5095,F51CF
DD686,DD70B,DD765
F518A,F5209,F5105
DD89F,DD943,DDA1B
F541C,F54AA,F53FC
DD952,DD97F,DD8B8
F5304,F5480,F544E
DD8E5,DD833,DD7F1
F5352,F51F7,F559D
DD8D9,DD910,DD6FA
F538B,F557D,F52AC
DD961,DDA10,DD928
F5457,F542A,F5241
DDB23,DD850,DD9D2
F54B3,F528A,F5415
DD8AB,DD90D,DD7C9
F54BB,F53A8,F54AC
DDA97,DD9F6,DDAAD
F5362,F5510,F5439
DD9D6,DDC26,DDB87
F56F3,F56A6,F5541
DDB8E,DDB8A,DDAB7
F5627,F582A,F552E
DDB1F,DDA98,DDCCB
F569B,F54DD,F55D9
DD9BC,DDAE7,DDA78
F547F,F555A,F55E8
DDA2B,DDA1B,DDAC5
F5411,F54A9,F5580
DD991,DDB3F,DDAEE
F5409,F5414,F53C4
DD8B1,DD9A5,DDAED
F548A,F54B3,F554E
DDC09,DDB4B,DDB50
F584F,F54D3,F542F
DDAAE,DDCBF,DDC87
F56ED,F571D,F56EC
DD9AE,DD8F4,DDAAA
F555E,F5484,F553D
DDB5D,DDA0D,DD914
F5457,F576F,F5598
DDA1D,DDA2E,DDB7B
F53E7,F564B,F545A
DDBAD,DDD17,DDBCD
F55C0,F57B7,F5528
DDB23,DDB87,DDBB6
F56FE,F54E1,F555F
DDB94,DD833,DDA0C
F5406,F5684,F54C2
DDB38,DDBBC,DDABE
F5422,F544A,F5643
DDB78,DDC42,DDAC9
F5601,F5641,F5405
DDBC4,DDAF3,DDC12
F55D4,F5647,F53AB
DDA4D,DDB06,DDA98
F5517,F55C2,F5487
DDA07,DDB5B,DDAC8
F568A,F5639,F55B9
DDB0D,DDA05,DDC29
F563C,F5734,F565E
DDC4A,DDAE2,DDB70
F54CE,F55CE,F5592
DDBCA,DDB6A,DDAAC
F56F7,F5684,F5655
DDB48,DDACF,DDB06
F5768,F5747,F56B2
DDB9D,DDB7B,DDB08
F5770,F555E,F570E
DDB81,DD9E3,DD94B
F55DF,F544C,F54D1
DDBC8,DDB7D,DDC2A
F56BE,F5618,F54B3
DDCAC,DDA33,DDC9E
F56B1,F567C,F555A
DDB77,DDBAE,DDC15
F5676,F567A,F5514
DDA62,DDB83,DDC42
F55D7,F567C,F570E
DDB4A,DDC98,DD948
F574A,F5537,F565F
DDC6F,DDABF,DDD0E
F55BA,F5459,F5488
DDC1C,DDD65,DDB9C
F5783,F55D7,F56B1
DDCB6,DDD23,DDC9F
