{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1A134,1A0F2,1A31D
31B62,31BC3,31B07
1A045,1A1CA,1A023
31C39,31C13,31D1E
1A2F5,19FE2,19FD5
31B84,31BC9,31D01
1A027,1A145,1A009
31C86,31BC5,31A71
1A09C,1A13B,19FBC
31A15,31B46,31943
1A0F0,1A148,1A12D
31B5A,31C2D,31CE7
1A108,1A1AD,1A179
31BFC,31B8B,31C67
19E18,1A04F,1A065
3192D,31A01,319D3
19F51,19F95,19E9F
318AD,31A3B,319A6
1A0F0,1A171,1A1FE
31C99,31A9C,31B0B
19F55,1A047,19F8B
31BCB,31BBB,31B8B
1A04D,19F7F,19F1C
3194C,31946,31CFE
1A143,1A256,1A1B1
319B8,31AD2,31BE1
1A21C,1A13E,1A008
31C8F,31ABC,31AC3
1A0E7,19FA1,1A20C
31A8F,31B09,31A4C
1A0C6,1A0F0,1A12E
31B6D,31CB6,31C61
19FC0,19EAF,19FAA
31A64,31AC2,31BB9
1A0AD,1A1E1,1A0AB
31BAD,31BF1,31C77
19FAB,1A0DF,1A01A
31B8A,31802,31BA3
19E7A,19FC5,1A14A
31C3A,31AEA,319FE
19EB7,1A02D,19F67
31A6B,319CF,31A08
1A085,19F9B,1A08B
31B21,31B01,31A3C
19FB1,19F29,1A228
31AA9,31AF9,31AD0
1A025,1A037,1A144
3114D,30FEF,31201
1A521,1A560,1A56B
31ECC,31DD1,31F5A
1A48C,1A517,1A3C6
31E87,32033,31E9C
1A56F,1A40A,1A49A
31F31,3204C,320ED
1A521,1A44F,1A514
3202E,31F6A,31F2E
1A57C,1A439,1A4BD
3207D,31F8C,31DDA
1A751,1A463,1A55B
320DA,31F9C,31F77
1A5BA,1A74D,1A5F7
32136,321B8,322A6
1A592,1A797,1A6C3
321F9,321DB,3226B
1A585,1A623,1A53F
31FBD,31F7A,32096
1A5E6,1A672,1A555
31FF9,31F75,32025
1A6EB,1A50E,1A5B8
31EA8,3201C,31EEA
1A57E,1A5C6,1A492
32187,31EB4,32065
1A552,1A50D,1A746
32119,31FE6,3214E
1A684,1A7DF,1A7B2
321D3,321E4,32031
1A75B,1A79E,1A4F4
