{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
12E448,12E27F,12E46B
145E7F,145FBD,145F9A
12E443,12E412,12E502
146070,1460BB,145FE0
12E481,12E526,12E49D
145E1E,145E2F,145F4E
12E46D,12E5C0,12E576
145FD0,145F1A,14610A
12E59E,12E60B,12E2AD
145E1F,146089,1460D5
12E618,12E417,12E4D9
14600E,146210,146179
12E57A,12E48F,12E56F
145D7E,145FB4,145F8C
12E453,12E63F,12E620
145FFC,14607D,145E4E
12E48B,12E5F4,12E583
145FC3,146018,146043
12E6A0,12E6D2,12E57D
146062,146036,145F67
12E729,12E523,12E4CD
146075,145CE8,1460F6
12E4C7,12E483,12E6D6
146080,145F81,146037
12E527,12E737,12E645
145FC0,146039,145FAB
12E61F,12E5A4,12E539
146161,1461C8,146248
12E444,12E658,12E48C
145EE6,145D89,1460B6
12E5E1,12E599,12E6E8
145FBD,1460B7,1461A2
12E634,12E33C,12E678
146221,145F6C,1460AB
12E772,12E512,12E5C4
145F62,145F82,14600A
12E708,12E459,12E4D3
14602B,145FA3,146204
12E459,12E462,12E60C
146133,145F3E,145F3B
12E6E6,12E6B4,12E691
14618E,145F9E,145F13
12E614,12E67E,12E6A5
145542,145282,145433
12ED7B,12EC15,12EC5C
1465F1,1465F3,1466D3
12EE46,12EB0E,12ECEF
14673F,1469C9,1466D4
12EC81,12EE71,12EDAD
146836,14673A,1467BD
12ED57,12ED30,12EDA3
14676A,1467D4,146764
12EB63,12EEC6,12EB4D
14666B,14675D,1468F8
12EB19,12EC36,12EBF6
1465FF,146853,1465F6
12EBB9,12EC2C,12EC3F
14676D,14662B,1467BB
12ECA8,12ED1A,12EADB
146841,1469EE,1468D2
12EC60,12ED99,12ECFA
146673,14662F,1464A8
12EE28,12ECBF,12EA70
1466D7,146742,146732
12EB80,12EB86,12EC0D
1466E5,14680F,146652
12ECFA,12ECB9,12ED36
146678,146749,1468A0
12EB34,12ED9A,12EDB3
146696,1467F2,146A17
12ED14,12ED66,12EED2
14672E,146758,1468B6
12EDE1,12EC70,12ED95
146826,14679E,1466A9
12EF3A,12EDBF,12ECC2
1466E7,1469B3,146712
12ECD7,12EE2B,12EFA6
1467AD,14698A,146964
12ED6E,12ECD4,12ECFB
146837,14663E,14676D
12EEC5,12EE69,12EC50
14670B,1467AB,14684A
12EDBF,12EE5D,12ED75
1468CD,1467BB,14673F
12ECAF,12EEDA,12EDE5
1468D5,146953,1467F8
12ED54,12EDB5,12ED57
146832,146696,1468E0
12EE02,12EEDD,12ED28
14688D,146996,1467DF
12ED17,12ECF3,12F08B
146938,146B0E,146925
12EEA3,12ECF4,12EDEC
1468ED,1467C5,1468B7
12EF8A,12EEFD,12EE10
146925,1467EE,1467F2
12EEA8,12EE29,12EDFA
146907,146807,14676A
12EEE4,12EE96,12EDB5
1468D2,1467F6,146846
12EEA7,12EEBF,12ECDD
14678A,1467CD,1468F1
12EE81,12EE0E,12ED6E
1469CE,1468D7,14687E
12EF35,12EF18,12EF84
146A2F,146823,1469B1
12ED62,12ED15,12ED82
146873,1466C9,146970
12ED4D,12EF80,12EEC8
14684F,1467EE,14690B
12EF7B,12ECD5,12EDCA
1467C9,146899,14667B
12EC62,12EE6C,12EF4A
146854,14691C,14680E
12EDC0,12EECF,12EDF9
1468CA,1469E5,146AC3
12EE5B,12EEEB,12ED5C
146748,146943,14671C
12EEC9,12EE5F,12F08C
146B39,146944,146925
12F22C,12EEA6,12EDF4
1469F5,14694D,146B36
12EF1B,12EE41,12EE54
146A5C,146A4E,146A47
12ED33,12ED43,12EDEB
146880,1468FD,1469E0
12F057,12EFDD,12ED84
146A23,1468C8,1467D7
12EFAF,12EDF8,12EFD2
14681A,146A52,146830
12EEBF,12EE48,12ED73
14685B,14694E,1468BE
12EEB5,12EE35,12F00A
1468AF,1468B4,146978
12EF6A,12EEA0,12ED66
146919,146AAE,1468D1
12EFEB,12EF10,12EE00
14685D,1468DE,146804
12EE78,12ED8D,12EF06
1467F9,1469D6,146B1D
12F02C,12EF80,12EF04
146934,146C0B,146A3B
12F001,12F163,12F019
146A7F,146A10,1469BF
12EF1A,12F01A,12EF81
146845,146915,1468E7
12EEEF,12EE72,12EFB7
146885,146A5C,146AA7
12F181,12EF92,12EF9D
146BA0,146BA3,146948
12EFF2,12EE60,12ED17
146B59,146AC9,1468F5
12EFCD,12EE8F,12EF44
146B14,1468FB,1469D2
