{'CALIB_RAW_DAC_START_I': 688128, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
E9A9B,E9DC9,E9C3C
D213A,D2120,D20C5
E9C77,E9BB0,E9D19
D1FA9,D2138,D236B
E9B73,E9B20,E9A81
D211E,D1FA1,D200C
E9AF2,E9B4E,E9D5C
D2166,D212E,D20E4
E9AAA,E9B38,E9968
D1E50,D1EE8,D2140
E9A29,E9AC2,E9B85
D1FC2,D209A,D1F6F
E9A44,E998E,E98E3
D21A9,D20CD,D21AB
E9A54,E999D,E9AAA
D20B5,D221F,D206B
E99A7,E98A9,E9B04
D204E,D202D,D2076
E9ABC,E993B,E99CF
D2131,D2042,D1EBC
E98F9,E9A32,E97FD
D1EF3,D1E75,D1D2C
E9AEF,E9987,E9B62
D1FF9,D2071,D22B9
E9BA6,E9A76,E99FE
D1F8F,D1EA8,D1DCA
EA5B6,EA4C8,EA5BA
D2EB3,D305F,D30AB
EAB91,EAAB5,EAAD1
D2ECA,D2FC2,D2F9C
EAA9D,EAAD5,EAA19
D2E24,D305E,D2FB9
EA943,EAC0F,EAC5F
D2F1C,D2FD9,D3101
EABFD,EAAA4,EAA0D
D30FB,D3091,D3154
EAB06,EA937,EAACB
D2DFB,D2FF3,D2F81
EAB3C,EAA16,EAA96
D309B,D3065,D2F16
EA9B5,EA837,EA9AB
D2E7F,D2FA6,D2E5B
EA9E9,EAC56,EAAA4
D2FAD,D30B4,D2FA2
EA886,EA91B,EAA0B
D2EBA,D2F49,D2FD9
EA847,EA9E4,EA7D8
D2F36,D300C,D2EB5
EA9CF,EA8C5,EA889
D2F19,D2E73,D2D9C
EA90D,EA96B,EA908
D2F6A,D2EDF,D2E77
EA894,EA934,EA81F
D2EA1,D2C58,D2DB6
EA923,EAA9B,EA8BF
D2FC2,D2E41,D30C9
EA83E,EA8D1,EA768
D2C0B,D2DD3,D2D8A
EA916,EA8BD,EA92E
D30E7,D311E,D2F2C
EAC43,EABEA,EAA7D
D3140,D2F04,D30C6
