{'CALIB_RAW_DAC_START_I': 524288, 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_VERSION': '1.0'}
-1AD44,-1AD98,-1AE5E
-31D0,-3357,-31F0
-1ACB8,-1AC73,-1AD9C
-30AE,-3291,-31D5
-1AB02,-1ABAC,-1ACA5
-31CE,-3283,-320F
-1A9F0,-1ABF9,-1AAD7
-31E9,-32E0,-3117
-1AC6F,-1AC1A,-1AD3D
-3298,-32CF,-330A
-1AC32,-1ACEF,-1ADF5
-325E,-3197,-3132
-1AB79,-1AC72,-1AA76
-327E,-3303,-31E5
-1AD25,-1AD75,-1AE15
-30BF,-31B9,-313D
-1B016,-1ABEF,-1AC98
-31D6,-31AD,-302C
-1ABE1,-1ABC4,-1AB37
-3074,-31A1,-3101
-1AD4C,-1AC15,-1AD57
-317F,-31AF,-30CB
-1AA70,-1AC24,-1AD4A
-30C6,-307E,-2FFC
-1A920,-1AB30,-1A98E
-31BE,-307E,-30DD
-1AA43,-1A985,-1AB11
-2E2D,-302B,-2EDF
